GEOID_2010,poverty,total,som_total,other_lang_total,other_very_well,other_less,geometry
27053011704,4.2,3307,0,6,6,0,"list(c(-93.25798, -93.25795, -93.257965, -93.256386, -93.253525, -93.252929, -93.24791, -93.247983, -93.247985, -93.247984, -93.247336, -93.246755, -93.237573, -93.229134, -93.223077, -93.222092, -93.19811, -93.19794, -93.200393, -93.199969, -93.197457, -93.193352, -93.189886, -93.18788, -93.185798, -93.181209, -93.178771, -93.178533, -93.179613, -93.182969, -93.182632, -93.179577, -93.184896, -93.186514, -93.190696, -93.195901, -93.200001, -93.207757, -93.207687, -93.210753, -93.210746, -93.210893, 
-93.216266, -93.217189, -93.219033, -93.222638, -93.222588, -93.219774, -93.219024, -93.219018, -93.220347, -93.222961, -93.231759, -93.231763, -93.232399, -93.234955, -93.234947, -93.232382, -93.23238, -93.23747, -93.238676, -93.239979, -93.241282, -93.24128, -93.241859, -93.241861, -93.242531, -93.242531, -93.245054, -93.245071, -93.244988, -93.247144, -93.247176, -93.247161, -93.247139, -93.247513, -93.249302, -93.253258, -93.253845, -93.257629, -93.262665, -93.262779, -93.262856, -93.262878, 
-93.263374, -93.263359, -93.263237, -93.263123, -93.262978, -93.262604, -93.262138, -93.261681, -93.261689, -93.258802, -93.257167, -93.258018, -93.25798, 44.883495, 44.876312, 44.870926, 44.87101, 44.872715, 44.872715, 44.872711, 44.864738, 44.862271, 44.861919, 44.861921, 44.861923, 44.861947, 44.861969, 44.861985, 44.861988, 44.862007, 44.862, 44.864523, 44.865505, 44.867118, 44.869209, 44.871537, 44.875002, 44.876486, 44.878055, 44.880162, 44.88134, 44.882748, 44.885348, 44.88712, 44.888252, 
44.891313, 44.88931, 44.882231, 44.884432, 44.885585, 44.888776, 44.896317, 44.896313, 44.896135, 44.893092, 44.893086, 44.896144, 44.894897, 44.896048, 44.896821, 44.896965, 44.896742, 44.897903, 44.897133, 44.897152, 44.896864, 44.896468, 44.895138, 44.895115, 44.896091, 44.896454, 44.896869, 44.896953, 44.896974, 44.896935, 44.897005, 44.897133, 44.897138, 44.896994, 44.897, 44.897676, 44.897241, 44.896613, 44.895992, 44.896014, 44.89698, 44.897643, 44.899647, 44.900906, 44.900874, 44.903633, 
44.903431, 44.903442, 44.903414, 44.897926, 44.894314, 44.892517, 44.892517, 44.892315, 44.891926, 44.891743, 44.891571, 44.89127, 44.891045, 44.8909, 44.890518, 44.890449, 44.890715, 44.890381, 44.883495))"
27053011800,6,4658,0,24,24,0,"list(c(-93.247513, -93.247139, -93.232361, -93.232338, -93.232315, -93.222878, -93.222862, -93.222839, -93.222847, -93.232211, -93.247269, -93.247307, -93.247307, -93.247322, -93.247513, 44.900906, 44.899647, 44.899891, 44.901699, 44.905338, 44.905373, 44.908989, 44.912613, 44.916401, 44.916421, 44.916054, 44.916056, 44.915076, 44.91066, 44.900906))"
27053011998,13.4,3921,0,29,29,0,"list(c(-93.222878, -93.217781, -93.212692, -93.207596, -93.203381, -93.198449, -93.200949, -93.205743, -93.207199, -93.210289, -93.212343, -93.215016, -93.217738, -93.222847, -93.222839, -93.222862, -93.222878, 44.905373, 44.90538, 44.905388, 44.905392, 44.905404, 44.905409, 44.907199, 44.90927, 44.910263, 44.912965, 44.91463, 44.916312, 44.916438, 44.916401, 44.912613, 44.908989, 44.905373))"
27053012001,10.9,5975,0,0,0,0,"list(c(-93.318832, -93.318825, -93.318825, -93.308661, -93.30505, -93.297323, -93.295966, -93.295437, -93.290868, -93.289883, -93.288292, -93.303566, -93.308655, -93.318825, -93.318832, 44.897999, 44.894398, 44.890752, 44.890605, 44.890596, 44.890305, 44.890171, 44.891368, 44.896026, 44.897837, 44.901443, 44.901512, 44.901535, 44.901619, 44.897999))"
27053012003,13.1,6104,666,669,639,30,"list(c(-93.295966, -93.293224, -93.288353, -93.28321, -93.278108, -93.276824, -93.27442, -93.264834, -93.261689, -93.261681, -93.262138, -93.262604, -93.262978, -93.263123, -93.263237, -93.263359, -93.263374, -93.262878, -93.262856, -93.262779, -93.262665, -93.267151, -93.267357, -93.271263, -93.274744, -93.274748, -93.281921, -93.283195, -93.289883, -93.290868, -93.295437, -93.295966, 44.890171, 44.889896, 44.890083, 44.890059, 44.890164, 44.890554, 44.890569, 44.890637, 44.890518, 44.8909, 44.891045, 
44.89127, 44.891571, 44.891743, 44.891926, 44.892315, 44.892517, 44.892517, 44.894314, 44.897926, 44.903414, 44.903389, 44.903873, 44.903103, 44.90354, 44.897877, 44.897854, 44.897846, 44.897837, 44.896026, 44.891368, 44.890171))"
27053012101,38.5,2791,279,145,13,132,"list(c(-93.255287, -93.254126, -93.252899, -93.24779, -93.246792, -93.246819, -93.245892, -93.24484, -93.246366, -93.246462, -93.247902, -93.247902, -93.24791, -93.247983, -93.247985, -93.247984, -93.247336, -93.246755, -93.237573, -93.229134, -93.223077, -93.222092, -93.19811, -93.19794, -93.200393, -93.199969, -93.197457, -93.193352, -93.189886, -93.18788, -93.185798, -93.181209, -93.178771, -93.178533, -93.179613, -93.182969, -93.182632, -93.179577, -93.184896, -93.186514, -93.190696, -93.195901, 
-93.200001, -93.207757, -93.207687, -93.210753, -93.210746, -93.210893, -93.216266, -93.217189, -93.219033, -93.222638, -93.222588, -93.219774, -93.219024, -93.219018, -93.220347, -93.222961, -93.222961, -93.222954, -93.222931, -93.222878, -93.232315, -93.232338, -93.232361, -93.247139, -93.247161, -93.248314, -93.254639, -93.255287, 44.895439, 44.892717, 44.890717, 44.890669, 44.888814, 44.883501, 44.883508, 44.882922, 44.879855, 44.878098, 44.878105, 44.875942, 44.872711, 44.864738, 44.862271, 
44.861919, 44.861921, 44.861923, 44.861947, 44.861969, 44.861985, 44.861988, 44.862007, 44.862, 44.864523, 44.865505, 44.867118, 44.869209, 44.871537, 44.875002, 44.876486, 44.878055, 44.880162, 44.88134, 44.882748, 44.885348, 44.88712, 44.888252, 44.891313, 44.88931, 44.882231, 44.884432, 44.885585, 44.888776, 44.896317, 44.896313, 44.896135, 44.893092, 44.893086, 44.896144, 44.894897, 44.896048, 44.896821, 44.896965, 44.896742, 44.897903, 44.897133, 44.897152, 44.897449, 44.898113, 44.901758, 44.905373, 
44.905338, 44.901699, 44.899891, 44.899647, 44.897643, 44.897945, 44.89793, 44.895439))"
27053012102,8.3,3237,0,0,0,0,"list(c(-93.255287, -93.254126, -93.252899, -93.24779, -93.246792, -93.246819, -93.245892, -93.24484, -93.246366, -93.246462, -93.247902, -93.247902, -93.24791, -93.247983, -93.247985, -93.247984, -93.247336, -93.246755, -93.237573, -93.229134, -93.223077, -93.222092, -93.19811, -93.19794, -93.200393, -93.199969, -93.197457, -93.193352, -93.189886, -93.18788, -93.185798, -93.181209, -93.178771, -93.178533, -93.179613, -93.182969, -93.182632, -93.179577, -93.184896, -93.186514, -93.190696, -93.195901, 
-93.200001, -93.207757, -93.207687, -93.207664, -93.207652, -93.207596, -93.212692, -93.217781, -93.222878, -93.222931, -93.222954, -93.222961, -93.222961, -93.231759, -93.231763, -93.232399, -93.234955, -93.234947, -93.232382, -93.23238, -93.23747, -93.238676, -93.239979, -93.241282, -93.24128, -93.241859, -93.241861, -93.242531, -93.242531, -93.245054, -93.245071, -93.244988, -93.247144, -93.247176, -93.247161, -93.248314, -93.254639, -93.255287, 44.895439, 44.892717, 44.890717, 44.890669, 44.888814, 
44.883501, 44.883508, 44.882922, 44.879855, 44.878098, 44.878105, 44.875942, 44.872711, 44.864738, 44.862271, 44.861919, 44.861921, 44.861923, 44.861947, 44.861969, 44.861985, 44.861988, 44.862007, 44.862, 44.864523, 44.865505, 44.867118, 44.869209, 44.871537, 44.875002, 44.876486, 44.878055, 44.880162, 44.88134, 44.882748, 44.885348, 44.88712, 44.888252, 44.891313, 44.88931, 44.882231, 44.884432, 44.885585, 44.888776, 44.896317, 44.898496, 44.899963, 44.905392, 44.905388, 44.90538, 44.905373, 44.901758, 
44.898113, 44.897449, 44.897152, 44.896864, 44.896468, 44.895138, 44.895115, 44.896091, 44.896454, 44.896869, 44.896953, 44.896974, 44.896935, 44.897005, 44.897133, 44.897138, 44.896994, 44.897, 44.897676, 44.897241, 44.896613, 44.895992, 44.896014, 44.89698, 44.897643, 44.897945, 44.89793, 44.895439))"
27053020101,15.8,3159,0,0,0,0,"list(c(-93.226898, -93.226898, -93.226883, -93.21254, -93.211166, -93.209578, -93.207926, -93.207949, -93.208092, -93.21823, -93.219498, -93.226929, -93.226898, 45.027729, 45.027714, 45.024097, 45.024174, 45.025078, 45.024668, 45.027561, 45.027802, 45.035744, 45.035698, 45.035698, 45.035671, 45.027729))"
27053020102,7.1,2394,0,0,0,0,"list(c(-93.237175, -93.242271, -93.247368, -93.247383, -93.247248, -93.2474, -93.247469, -93.246964, -93.24617, -93.243477, -93.242065, -93.236355, -93.238091, -93.237696, -93.235781, -93.235286, -93.232026, -93.227055, -93.224341, -93.220193, -93.218366, -93.207638, -93.207636, -93.207802, -93.207866, -93.207926, -93.209578, -93.211166, -93.21254, -93.226883, -93.226868, -93.226863, -93.22686, -93.229614, -93.233276, -93.237122, -93.237114, -93.237129, -93.237152, -93.23716, -93.237175, 45.005981, 
45.005955, 45.005928, 45.002281, 44.998714, 44.996316, 44.996125, 44.991226, 44.991489, 44.991493, 44.991493, 44.991492, 44.994044, 44.998711, 45.001307, 45.001625, 45.002346, 45.001223, 45.000761, 45.000982, 45.00144, 45.005977, 45.006205, 45.020584, 45.024616, 45.027561, 45.024668, 45.025078, 45.024174, 45.024097, 45.020473, 45.019513, 45.018921, 45.019222, 45.022263, 45.023972, 45.020443, 45.016819, 45.013195, 45.00959, 45.005981))"
27053020200,29.3,8179,0,343,216,127,"list(c(-93.300423, -93.306725, -93.308037, -93.317175, -93.320008, -93.321708, -93.31568, -93.315578, -93.314225, -93.309209, -93.309612, -93.314108, -93.314344, -93.314455, -93.303349, -93.301361, -93.301483, -93.293777, -93.285226, -93.284068, -93.282094, -93.280815, -93.281593, -93.283286, -93.28442, -93.283761, -93.280756, -93.281063, -93.288017, -93.295364, -93.300423, 45.087223, 45.087269, 45.087276, 45.087302, 45.087309, 45.083173, 45.080639, 45.080132, 45.076529, 45.073276, 45.071744, 45.065576, 
45.059236, 45.055399, 45.062038, 45.062019, 45.05846, 45.058422, 45.058465, 45.064933, 45.069493, 45.071716, 45.071718, 45.073845, 45.077587, 45.080436, 45.084297, 45.087201, 45.087202, 45.087215, 45.087223))"
